1o. Agrupamento,REF PRINCIPAL,Código,Recurso,Descrição,qnt,Produto
04/08/2020,,612339,411176,"TANQUE 6500L  SIMPL (M98) T6,5",1,
04/08/2020,,612339,030943,"TANQUE 6500L  C/ ESC E GRADIL (M98) T6,5 - ",1,
05/08/2020,,612340,483047,"TANQUE 4300L SIMPL  (M98)  T4,3",1,
05/08/2020,,612340,030944,"TANQUE 4300L SIMPL C/ESC E GRADIL  (M98)  TA4,3 - ",1,
06/08/2020,FTC6500 SS RS/RS M17,613426M17,477989,EIXO DIANT COMPL SS CUBO FORJ(00) (M98)F6,1,"Carreta Tanque (6500L) RS/RS de 2 Eixos – TANQUE - Molas, Freios e Pneus não Incluídos"
06/08/2020,FTC6500 SS RS/RS M17,613426M17,477114,EIXO BALANC COMPL SS   (M98)F6,1,"Carreta Tanque (6500L) RS/RS de 2 Eixos – TANQUE - Molas, Freios e Pneus não Incluídos"
06/08/2020,FTC6500 SS RS/RS M17,613426M17,023589,ICAMENTO COMPLETO  S/F   CBHM 2 EIXOS,1,"Carreta Tanque (6500L) RS/RS de 2 Eixos – TANQUE - Molas, Freios e Pneus não Incluídos"
06/08/2020,FTC6500 SS RS/RS M17,613426M17,030788,CHASSI SIMPLES SEM MOLA F6 SS M17,1,"Carreta Tanque (6500L) RS/RS de 2 Eixos – TANQUE - Molas, Freios e Pneus não Incluídos"
06/08/2020,FTC6500 SS RS/RS M17,613426M17,032488," TANQUE SIMPLES 6500L ""01 SAIDA + ESCADA E GRADIL"" [FTC 6500 ] Flag Romaneio",1,"Carreta Tanque (6500L) RS/RS de 2 Eixos – TANQUE - Molas, Freios e Pneus não Incluídos"
07/08/2020,,613427M17,477989,EIXO DIANT COMPL SS CUBO FORJ(00) (M98)F6,1,
07/08/2020,,613427M17,477114,EIXO BALANC COMPL SS   (M98)F6,1,
07/08/2020,,613427M17,023565,ICAMENTO SIMPLES S/F  CBHM 2 EIXOS,1,
07/08/2020,,613427M17,023589,ICAMENTO COMPLETO  S/F   CBHM 2 EIXOS,1,
07/08/2020,,613427M17,030788,CHASSI SIMPLES SEM MOLA F6 SS M17,1,
