carreta,codigo,desc,item_code,qt,item_description,tipo
CBHM5000 GR SC RD M17,614233M17,614233M17 - CBHM 5000 RD SC M17 - LARANJA - (CARRETA BASCULANTE HIDRAULICA 5T) (Un),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM5000 CF SC RD M17,614415M17,"614415M17 - CBHM 5000 RD M17 (5,0T) SC CAFEEIRA CARR BASC HIDR (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM4500 SS RD M17,614920M17,"614920M17 - CBHM 4500 M17 RD (4,0T) SS CAFEEIRA - LARANJA - (CARRETA BASCULANTE HIDRAULICA CAFEEIRA 4T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM5000 GR SS RD M17,614932M17,"614932M17 - CBHM 5000 RD (5,0T) SS M17 - LARANJA - (CARRETA BASCULANTE HIDRAULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM5000 GR SS T MM M20,614938M20,"614938M20 - CBHM 5000 (5,0T) TANDEM M20 C/ MANG MAIOR - LARANJA - (CARRETA BASCULANTE HIDRAULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM3500 SS RD M17,614956M17,"614956M17 - CBHM 3500 M17 RD (4,0T) SS (CARRETA BASCULANTE HIDRÁULICA MODULADA 4T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM3500 SC RD M17,614993M17,"614993M17 - CBHM 3500 M17 RD (4,0T) SC CARR BASC HIDR (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,619554M17,"619554M17 - CBHM 6000 RD M17 (6,0T) SS C/PNEUS (CARRETA BASCULANTE HIDRAULICA 6TONELADAS) M17 (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,619556M19,"619556M19 - CBH6,0 M19 RD SS (6.0T) (CARRETA BASCULANTE HIDRAULICA 6TONELADAS) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,619556M20,"619556M20 - CBH6,0 M20 RD SS - USO GERAL TRS - LARANJA - (CARRETA BASCULANTE HIDRAULICA 6TONELADAS) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,619566M19VM,"619566M19VM - CBH6,0 RD FORRRAGEIRA SC ABERTURA LATERAL - VERMELHO (CARRETA BASCULANTE HIDRAULICA 6 TONELADAS) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM6000 UG SC RD M17,619620M17,"619620M17 - CBHM 6000 M17 RD (6,0T) SC - LARANJA - (CARRETA BASCULANTE HIDRAULICA 6T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM8000 SS RD M17,620725M17,"620725M17 - CBHM 8000 RD (4,0T) SS (M17) FORRAGEIRA (CARRETA BASCULANTE HIDRÁULICA 4T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,621482M17,621482M17 - CBHM 10.000 SS M17 (02 EIXOS) C/PNEUS - LARANJA - (CARRETA BASCULANTE HIDRÁULICA FORRAGEIRA 6T) (Un),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,621500M20,"621500M20 - CBH5,0CS M20 - FORRAGEIRA (CARRETA BASCULANTE HIDRÁULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM5000 GR SC RD BE M17,621538M17,"621538M17 - CBHM 5000 RD (5,0T) SC M17 C/ BASE PARA ENSILADEIRA (CARRETA BASCULANTE HIDRAULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,621602M20,"621602M20 - CBH5,0SS RD M20 - USO GERAL - LARANJA - (CARRETA BASCULANTE HIDRÁULICA 5TONELADAS) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,621626M20,"621626M20 - CBH5,0CS RD M20 - USO GERAL - LARANJA - (CARRETA AGRICOLA BASCULANTE HIDRAULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM60002E SS RS/RD M17,621898M17,621898M17 - CBHM 6000 SS (02 EIXOS) M17 CARRETA BASCULANTE HIDRÁULICA (Un),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622315M19,"622315M19 - CBH6,0 SS 02 EIXOS M19 LARANJA - FORRAGEIRA - ABERTURA LATERAL (CARRETA BASCULANTE HIDRÁULICA 6T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622339M19,"622339M19 - CBH6,0 SS 02 EIXOS M19 FORRAGEIRA ABERTURA LATERAL C/PNEUS - LARANJA - (CARRETA BASC. HIDRÁULICA 06 TON) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622355M19,"622355M19 - CBH6,0 RD M19 FORR C/PNEUS SS ABERTURA LATERAL (CARRETA BASCULANTE HIDRAULICA 6TON) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM5000 GR SC RD MM M17,622437M17,"622437M17 - CBHM 5000 RD (5,0T) SC M17 C/ MANGUEIRAS MAIORES - LARANJA - (CARRETA BASCULANTE HIDRAULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622480M19,"622480M19 - F6SS M19 BAG C/PLAT 4,00x2,10 C/PNEUS PISO DE MADEIRA (CARRETA AGRÍCOLA 6T C/CARROCERIA DE MADEIRA 4,00x2,10) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM5000 GR SS RD P750(R) M17,622487M17,"622487M17 - CBHM 5000 RD (5,0T) SS M17 C/PNEUS 7.50x16 - LARANJA - (CARRETA BASCULANTE HIDRAULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622490M20,"622490M20 - CBH5,0 SS RD M20 LARANJA - USO GERAL - PNEUS 750 (CARRETA BASCULANTE HIDRÁULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622497M17AV,"622497M17AV - CBHM 5000 RD (5,0T) SC M17 C/PNEUS 750 AMARELO (CARRETA BASCULANTE HIDRAULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622526M17,"622526M17 - CBHM 4500 M17 RD (4,0T) SS CAFEEIRA C/ PNEUS ESPECIAL(650) (CARRETA BASCULANTE HIDRAULICA CAFEEIRA 4T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622556M20,"622556M20 - CBH5,0SS FORRAGEIRA (M20) C/ PNEUS (750) LARANJA (CARRETA BASCULANTE HIDRÁULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622562M19,622562M19 - CBHM 6000 M19 CAFEEIRA RD SS C/PNEUS (CARRETA BASCULANTE HIDRAULICA) (Un),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622565M19,"622565M19 - CBH6,0 SS 02 EIXOS M19 FORRAGEIRA ABERTURA LATERAL C/PNEUS - LARANJA - (CARRETA BASCULANTE HIDRÁULICA 06 TONELADAS) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622574M19,622574M19 - CBHM 6000 M19 CAFEEIRA RD SS LARANJA (CARRETA BASCULANTE HIDRAULICA) (Un),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622578M19,622578M19 - CBHM 6000 M19 CAFEEIRA RD SC (CARRETA BASCULANTE HIDRAULICA) (Un),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622583M19VM,622583M19VM - CBHM 6000 M19 CAFEEIRA VERMELHO RD SC C/PNEUS C/MANGUEIRAS MAIORES (CARRETA BASCULANTE HIDRAULICA) (Un),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622591M19AV,622591M19AV - CBHM 6000 M19 CAFEEIRA AMARELA RD SC C/PNEUS (CARRETA BASCULANTE HIDRAULICA) (Un),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622616M20,"622616M20 - CBH6,0 RD SS M20 - USO GERAL - PNEUS - LARANJA (CARRETA BASCULANTE HIDRAULICA 6TONELADAS) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
FA4 SS RD P M20,622649M20,"622649M20 - FA4 FIXA SS RD C/S3,20MD CARROCERIA DE MADEIRA (CARRETA AGRICOLA 4TON COM CARROCERIA DE MADEIRA 3,20X1,90X0,45M) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
FA4 SS RD P P750(R) M20,622659M20,"622659M20 - FA4 FIXA SS RD C/S3,20MD C/ PNEUS ESPECIAL (750) CARROCERIA DE MADEIRA (CARRETA AGRICOLA 4TON COM CARROCERIA DE MADEIRA 3,20X1,90X0,45M) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM6000 UG SS RD P750 M17,622672M17,"622672M17 - CBHM 6000 M17 RD (6,0T) SS C/PNEUS (750) (CARRETA BASCULANTE HIDRAULICA 6TONELADAS) M17 (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622681M20,"622681M20 - CBH5,0SS RD M20 - USO GERAL - PNEUS 650 (CARRETA BASCULANTE HIDRÁULICA 5TONELADAS) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622704M20VJ,"622704M20VJ - CBH5,0SC FORRAGEIRA (M20) VERDE (CARRETA BASCULANTE HIDRÁULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
FTC4300 SS 1E RD M20,622720M20,622720M20 - FTC 4300 (FA4SS FIXA M20) C/ESCADA C/GRADIL LARANJA (CARRETA TANQUE 4300 LITROS) (Un),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622749M20,"622749M20 - CBH6,0SS RD M20 LARANJA - USO GERAL - PNEUS 750 (CARRETA BASCULANTE HIDRÁULICA 6T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622778M20,"622778M20 - CBH5,0 CS RD M20 LARANJA - USO GERAL - PNEUS 750 (CARRETA AGRICOLA BASCULANTE HIDRAULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM5000 GR SC RD MM P750 M17,622798M17,622798M17 - CBHM 5000 SC RD M17 LARANJA - MANGUEIRAS MAIORES - PNEUS 750 (CARRETA BASCULANTE HIDRÁULICA 5T) (Un),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622799M19AV,"622799M19AV - CBH6,0 RD M19 FORR AMARELO C/PNEUS SS ABERTURA LATERAL C/ MANGUEIRAS MAIORES (CARRETA BASCULANTE HIDRAULICA 6TON) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622801M17AV,"622801M17AV - CBHM 5000 RD (5,0T) SS M17 AMARELO C/ MANGUEIRAS MAIORES C/PNEUS 750 (CARRETA BASCULANTE HIDRAULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622802M17AV,"622802M17AV - CBHM 5000 AMARELA RD (5,0T) SS (M17) C/BASE P/ENSILADEIRA C/ PNEUS 750 - CARRETA BASCULANTE HIDRÁLICA (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622804M20AV,"622804M20AV - CBH5,0SS (M19) RD - FORRAGEIRA - PNEUS 750 - MANG MAIORES - AMARELO (CARRETA BASCULANTE HIDRÁULICA 5T) (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622805M17AV,"622805M17AV - CBHM 6000 M17 RD (6,0T) SS - PNEUS 750 - MANG MAIORES - AMARELO (CARRETA BASCULANTE HIDRAULICA 6TONELADAS) M17 (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622806M17VJ,622806M17VJ - CBHM 5000 SC RD M17 VERDE - MANGUEIRAS MAIORES (CARRETA BASCULANTE HIDRÁULICA 5T)+ (Un),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622807M17AV,"622807M17AV - CBHM 5000 RD (5,0T) SC M17 C/PNEUS 750 C/ MANGUEIRAS MAIORES AMARELO (CARRETA BASCULANTE HIDRAULICA 5T)+ (Un)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622808M19AV,622808M19AV - CBHM 6000 M19 CAFEEIRA RD SC C/ MANGUEIRAS MAIORES AMARELO (CARRETA BASCULANTE HIDRAULICA) (Un),214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
CBHM6000 UG SS RD M17,619553M17,"619553M17 - CBHM 6000 SS RD M17 LARANJA (CARRETA BASCULANTE HIDRÁULICA 7,0T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,614938M17,"614938M17 - CBHM 5000 (5,0T) TANDEM M17 C/ MANG MAIOR (CARRETA BASCULANTE HIDRAULICA 5T)",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
,622571M17VM,"622571M17VM - CBHM 5000 RD M17 (5,0T) VERMELHO SC (TAMPA C/ CORRENTE) C/PNEUS ESPECIAL (750) CARR BASC HIDRÁULICA",214105,4,RODA 6 FUROS RD CBH/CBHM/FA,roda
